dataset_index,source_path,true_class,predicted_class,confidence,confusion_pair
1216,DCID/noise-512-7/test/4.Mudstone/4.Mudstone_noise_113.jpg,4.Mudstone,7.Marble,0.9999983310699463,4.Mudstone -> 7.Marble
830,DCID/noise-512-7/test/3.Gray siltstone/3.Gray siltstone_noise_126.jpg,3.Gray siltstone,4.Mudstone,0.999971866607666,3.Gray siltstone -> 4.Mudstone
1758,DCID/noise-512-7/test/5.Granite/5.Granite_noise_241.jpg,5.Granite,1.Red sandstone,0.9995396137237549,5.Granite -> 1.Red sandstone
2452,DCID/noise-512-7/test/7.Marble/7.Marble_noise_146.jpg,7.Marble,4.Mudstone,0.9994248151779175,7.Marble -> 4.Mudstone
821,DCID/noise-512-7/test/3.Gray siltstone/3.Gray siltstone_noise_118.jpg,3.Gray siltstone,4.Mudstone,0.9982796907424927,3.Gray siltstone -> 4.Mudstone
2435,DCID/noise-512-7/test/7.Marble/7.Marble_noise_130.jpg,7.Marble,4.Mudstone,0.9977931976318359,7.Marble -> 4.Mudstone
1766,DCID/noise-512-7/test/5.Granite/5.Granite_noise_249.jpg,5.Granite,1.Red sandstone,0.9974474906921387,5.Granite -> 1.Red sandstone
2242,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_317.jpg,6.Basalt,4.Mudstone,0.9956592321395874,6.Basalt -> 4.Mudstone
2466,DCID/noise-512-7/test/7.Marble/7.Marble_noise_159.jpg,7.Marble,4.Mudstone,0.9905617833137512,7.Marble -> 4.Mudstone
1952,DCID/noise-512-7/test/5.Granite/5.Granite_noise_56.jpg,5.Granite,7.Marble,0.9648701548576355,5.Granite -> 7.Marble
1296,DCID/noise-512-7/test/4.Mudstone/4.Mudstone_noise_186.jpg,4.Mudstone,7.Marble,0.9631630778312683,4.Mudstone -> 7.Marble
1495,DCID/noise-512-7/test/4.Mudstone/4.Mudstone_noise_365.jpg,4.Mudstone,3.Gray siltstone,0.9569222331047058,4.Mudstone -> 3.Gray siltstone
1973,DCID/noise-512-7/test/5.Granite/5.Granite_noise_75.jpg,5.Granite,1.Red sandstone,0.9518227577209473,5.Granite -> 1.Red sandstone
1185,DCID/noise-512-7/test/3.Gray siltstone/3.Gray siltstone_noise_86.jpg,3.Gray siltstone,7.Marble,0.9417714476585388,3.Gray siltstone -> 7.Marble
1958,DCID/noise-512-7/test/5.Granite/5.Granite_noise_61.jpg,5.Granite,1.Red sandstone,0.9325832724571228,5.Granite -> 1.Red sandstone
292,DCID/noise-512-7/test/1.Red sandstone/1.Red sandstone_noise_362.jpg,1.Red sandstone,2.Light sandstone,0.916955292224884,1.Red sandstone -> 2.Light sandstone
1540,DCID/noise-512-7/test/4.Mudstone/4.Mudstone_noise_45.jpg,4.Mudstone,3.Gray siltstone,0.8984300494194031,4.Mudstone -> 3.Gray siltstone
2383,DCID/noise-512-7/test/6.Basalt/6.Basalt_noise_84.jpg,6.Basalt,7.Marble,0.8879266381263733,6.Basalt -> 7.Marble
1386,DCID/noise-512-7/test/4.Mudstone/4.Mudstone_noise_267.jpg,4.Mudstone,2.Light sandstone,0.872252881526947,4.Mudstone -> 2.Light sandstone
1938,DCID/noise-512-7/test/5.Granite/5.Granite_noise_43.jpg,5.Granite,1.Red sandstone,0.8564848899841309,5.Granite -> 1.Red sandstone
559,DCID/noise-512-7/test/2.Light sandstone/2.Light sandstone_noise_242.jpg,2.Light sandstone,1.Red sandstone,0.8493081331253052,2.Light sandstone -> 1.Red sandstone
1751,DCID/noise-512-7/test/5.Granite/5.Granite_noise_235.jpg,5.Granite,7.Marble,0.8488748669624329,5.Granite -> 7.Marble
540,DCID/noise-512-7/test/2.Light sandstone/2.Light sandstone_noise_225.jpg,2.Light sandstone,4.Mudstone,0.8452469110488892,2.Light sandstone -> 4.Mudstone
158,DCID/noise-512-7/test/1.Red sandstone/1.Red sandstone_noise_241.jpg,1.Red sandstone,2.Light sandstone,0.8241720199584961,1.Red sandstone -> 2.Light sandstone
2463,DCID/noise-512-7/test/7.Marble/7.Marble_noise_156.jpg,7.Marble,4.Mudstone,0.8234712481498718,7.Marble -> 4.Mudstone
2479,DCID/noise-512-7/test/7.Marble/7.Marble_noise_170.jpg,7.Marble,4.Mudstone,0.8040503859519958,7.Marble -> 4.Mudstone
1970,DCID/noise-512-7/test/5.Granite/5.Granite_noise_72.jpg,5.Granite,1.Red sandstone,0.8033584356307983,5.Granite -> 1.Red sandstone
1965,DCID/noise-512-7/test/5.Granite/5.Granite_noise_68.jpg,5.Granite,1.Red sandstone,0.7435481548309326,5.Granite -> 1.Red sandstone
