,precision,recall,f1-score,support
1.Red sandstone,0.999000999000999,1.0,0.9995002498750625,1000.0
2.Light sandstone,0.999000999000999,1.0,0.9995002498750625,1000.0
3.Gray siltstone,1.0,1.0,1.0,1000.0
4.Mudstone,0.9970089730807578,1.0,0.9985022466300549,1000.0
5.Granite,1.0,0.998,0.998998998998999,1000.0
6.Basalt,1.0,1.0,1.0,1000.0
7.Marble,1.0,0.997,0.9984977466199298,1000.0
accuracy,0.9992857142857143,0.9992857142857143,0.9992857142857143,0.9992857142857143
macro avg,0.9992872815832509,0.9992857142857143,0.9992856417141585,7000.0
weighted avg,0.9992872815832508,0.9992857142857143,0.9992856417141583,7000.0
