,precision,recall,f1-score,support
1.Red sandstone,0.9612590799031477,0.9925,0.976629766297663,400.0
2.Light sandstone,0.9801980198019802,0.99,0.9850746268656716,400.0
3.Gray siltstone,0.9924433249370277,0.985,0.9887076537013801,400.0
4.Mudstone,0.9679012345679012,0.98,0.9739130434782609,400.0
5.Granite,0.9973958333333334,0.9575,0.9770408163265306,400.0
6.Basalt,1.0,0.9625,0.9808917197452229,400.0
7.Marble,0.9587378640776699,0.9875,0.9729064039408867,400.0
accuracy,0.9792857142857143,0.9792857142857143,0.9792857142857143,0.9792857142857143
macro avg,0.9797050509458657,0.9792857142857142,0.9793091471936596,2800.0
weighted avg,0.9797050509458658,0.9792857142857143,0.9793091471936595,2800.0
